,id,budget,genres,original_language,original_title,overview,popularity,poster,release_year,release_date,release_date_str,revenue,runtime,tagline,title,vote_average,vote_count
0,0,40218400,"['Crime', 'Drama']","['English', 'Italian', 'Latin']",The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,97.0,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1972,70223400,24 Mar 1972,"$136,381,073",175 min,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,The Godfather,9.2,"2,048,917"
1,1,40218400,['Drama'],['English'],The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",89.0,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_SX300.jpg,1994,782073000,14 Oct 1994,"$28,767,189",142 min,"A Maine banker convicted of the murder of his wife and her lover in 1947 gradually forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple comp...",The Shawshank Redemption,9.3,"2,932,194"
2,2,40218400,"['Action', 'Crime', 'Drama']","['English', 'Mandarin']",The Dark Knight,"When the menace known as the Joker emerges, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",94.0,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,2008,1216319400,18 Jul 2008,"$534,987,076",152 min,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",The Dark Knight,9.0,"2,919,777"
3,3,40218400,"['Crime', 'Drama']","['English', 'Spanish', 'French']",Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster, and his wife intertwine in four tales of violence and redemption.",92.0,https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,1994,782073000,14 Oct 1994,"$107,928,762",154 min,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Pulp Fiction,8.9,"2,257,639"
4,4,40218400,"['Biography', 'Drama', 'History']","['English', 'Hebrew', 'German', 'Polish', 'Latin']",Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler saves thousands of Jews from the Holocaust by employing them in his factories.",98.0,https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1993,760300200,04 Feb 1994,"$96,898,818",195 min,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Schindler's List,9.0,"1,474,085"
5,5,40218400,"['Action', 'Adventure', 'Sci-Fi']","['English', 'Japanese', 'French']",Inception,"A thief who enters the dreams of others to steal secrets must now plant an idea into someone's mind, a task that proves to be more difficult than expected.",87.0,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,2010,1279218600,16 Jul 2010,"$292,587,330",148 min,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Inception,8.8,"2,592,712"
6,6,40218400,"['Drama', 'Thriller']",['English'],Fight Club,An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something far more dangerous.,80.0,https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_SX300.jpg,1999,939925800,15 Oct 1999,"$37,030,102",139 min,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Fight Club,8.8,"2,371,394"
7,7,40218400,"['Drama', 'Romance']",['English'],Forrest Gump,The story of a slow-witted man who witnesses and unwittingly influences several historical events in the 20th century United States.,76.0,https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,1994,773433000,06 Jul 1994,"$330,455,270",142 min,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Forrest Gump,8.8,"2,291,939"
8,8,40218400,"['Action', 'Sci-Fi']",['English'],The Matrix,A computer hacker learns the shocking truth about reality and his role in the war against its controllers.,83.0,https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,1999,922818600,31 Mar 1999,"$172,076,928",136 min,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",The Matrix,8.7,"2,087,394"
9,9,40218400,"['Action', 'Adventure', 'Fantasy']",['English'],Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, and two droids to save the galaxy from the Empire's battle station.",93.0,https://m.media-amazon.com/images/M/MV5BOTA5NjhiOTAtZWM0ZC00MWNhLThiMzEtZDFkOTk2OTU1ZDJkXkEyXkFqcGdeQXVyMTA4NDI1NTQx._V1_SX300.jpg,1977,233346600,25 May 1977,"$460,998,507",121 min,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",Star Wars: Episode IV - A New Hope,8.6,"1,469,927"
